ngapak,indonesia,contributor,source_type,source_detail,notes
bedug,bedug,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bedugé,bedugnya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
begal,perampok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
begja,beruntung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bejog,jatuh terduduk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bekel,bekal,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bekti,hormat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belah,membelah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belang,bercorak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belar,melebar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belet,lumpur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belik,sumber mata air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belok,kotor sekali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
beluk,suara nyaring,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
belung,kurus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ben,biar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
benang,benang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bendhu,murka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bendok,tuntut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bener,benar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bengi,malam,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bengok,berteriak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bentong,pukul memakai kayu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bentuk,bengkung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
berak,buang air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
beras,beras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
beres,selesai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
berkat,berkat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
besengut,cemberut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
beset,terpeleset,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
besuk,besok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
besuké,besoknya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
betah,betah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bethek,monyet,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
betis,betis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
beton,biji nangka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
beyah,terbelah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
biyasa,biasa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
biyen,dulu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
biyung,ibu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blabag,papan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blakasuta,terus terang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blaketaket,enak sekali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blandong,penebang kayu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blangsak,sesat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blarak,daun kelapa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blas,sama sekali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bledhug,membakar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bledug,debu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bleketaket,lengket / pulen,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blekethir,kaki tangan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blekok,burung bangau,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blencong,lampu minyak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blenyah,basah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blenyik,licin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blesek,perosok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blethok,menonjol,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
